DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genome Coordinates (mouse: GRCm39 human: GRCh38)	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
46546766	"mouse, laboratory"	10090	Anxa1	16952	MGI:96819			Chr19 13.83 cM	Chr19:20350798-20368035(-)	NM_010730	NP_034860	P10107
46546766	human	9606	ANXA1	301		HGNC:533	OMIM:151690	Chr9 q21.13	Chr9:73151865-73170393(+)	NM_000700	"NP_000691,XP_016870146,XP_054218828,XP_054218829"	P04083
46546767	"mouse, laboratory"	10090	Atp5mk	66477	MGI:1891435			Chr19 39.23 cM	Chr19:47071910-47079086(-)	NM_023211	NP_075700	Q78IK2
46546767	human	9606	ATP5MK	84833		HGNC:30889	OMIM:615204	Chr10 q24.33	Chr10:103389041-103396492(-)	"NM_032747,NM_001206426,NM_001206427"	"NP_001193355,NP_001193356,NP_116136,XP_024304005,XP_054222974"	Q96IX5
46546768	"mouse, laboratory"	10090	Fkbp15	338355	MGI:2444782			Chr4 33.08 cM	Chr4:62218579-62278785(-)	"XM_006538034,XM_030253627,XM_036164205,XM_036164206,NM_001355385,NM_001045528"	"XP_036020099,XP_036020098,XP_030109487,XP_006538097,NP_001342314,NP_001038993"	Q6P9Q6
46546768	human	9606	FKBP15	23307		HGNC:23397	OMIM:617398	Chr9 q32	Chr9:113161006-113221458(-)	NM_015258	"NP_056073,XP_006717081,XP_006717082,XP_054218510,XP_054218511"	Q5T1M5
46546769	"mouse, laboratory"	10090	Cfap65	241116	MGI:2444274			Chr1 38.54 cM	Chr1:74941230-74974758(-)	"XM_006495992,XM_030254142,XM_006495995,XM_011238524,XM_006495997,XM_030254139,XM_006495991,XM_006495990,NM_001039495,XM_006495993"	"XP_006496060,XP_030109999,XP_006496056,XP_006496055,XP_006496054,XP_006496053,XP_030110002,XP_011236826,XP_006496058,NP_001034584"	Q3V0B4
46546769	human	9606	CFAP65	255101		HGNC:25325	OMIM:614270	Chr2 q35	Chr2:219002846-219041551(-)	"NM_152389,NM_001278295,NM_001278296,NM_194302"	"NP_001265224,NP_001265225,NP_689602,NP_919278,XP_011509205,XP_011509206,XP_011509210,XP_011509211,XP_011509212,XP_011509213,XP_011509214,XP_011509216,XP_011509217,XP_011509218,XP_016859241,XP_016859242,XP_016859243,XP_047299829,XP_054197249,XP_054197250,XP_054197251,XP_054197252,XP_054197253,XP_054197254,XP_054197255,XP_054197256,XP_054197257,XP_054197258,XP_054197259,XP_054197260,XP_054197261,XP_054197262"	Q6ZU64
46546770	"mouse, laboratory"	10090	Plb1	665270	MGI:1922406			Chr5 17.33 cM	Chr5:32390035-32521700(+)	"XM_006504047,NM_030072,NM_172147,XM_006504048,XM_006504049,NM_001081407"	"XP_006504111,XP_006504110,XP_006504112,NP_001074876,NP_084348,NP_742159"	Q3TTY0
46546770	human	9606	PLB1	151056		HGNC:30041	OMIM:610179	Chr2 p23.2	Chr2:28457145-28644142(+)	"NM_153021,NM_001170585"	"NP_001164056,NP_694566"	Q6P1J6
46546771	"mouse, laboratory"	10090	Ap1g2	11766	MGI:1328307			Chr14 28.07 cM	Chr14:55336292-55344050(-)	"NM_001303502,NM_007455"	"NP_001290431,NP_031481"	O88512
46546771	human	9606	AP1G2	8906		HGNC:556	OMIM:603534	Chr14 q11.2	Chr14:23559565-23568070(-)	"NM_001282475,NM_080545,NM_003917,NM_001354681,NM_001354677,NM_001354675,NM_001354674,NM_001354673,NM_001282474"	"NP_001269403,NP_001269404,NP_001341602,NP_001341603,NP_001341604,NP_001341606,NP_001341610,NP_003908,XP_005268224,XP_005268225,XP_005268226,XP_005268227,XP_005268229,XP_005268230,XP_006720364,XP_011535585,XP_047287805,XP_047287806,XP_047287807,XP_047287808,XP_047287809,XP_047287810,XP_047287811,XP_047287812,XP_047287813,XP_047287814,XP_047287815,XP_047287816,XP_047287817,XP_047287818,XP_047287819,XP_047287820,XP_047287821,XP_047287822,XP_047287823,XP_047287824,XP_047287825,XP_047287826,XP_054232853,XP_054232854,XP_054232855,XP_054232856,XP_054232857,XP_054232858,XP_054232859,XP_054232860,XP_054232861,XP_054232862,XP_054232863,XP_054232864,XP_054232865,XP_054232866,XP_054232867,XP_054232868,XP_054232869,XP_054232870,XP_054232871,XP_054232872,XP_054232873,XP_054232874,XP_054232875,XP_054232876,XP_054232877,XP_054232878,XP_054232879,XP_054232880,XP_054232881,XP_054232882,XP_054232883"	O75843
46546772	"mouse, laboratory"	10090	Vmn2r66	233437	MGI:3588220			Chr7 48.39 cM	Chr7:84643853-84661228(-)	NM_001033878	NP_001029050	
46546773	"mouse, laboratory"	10090	Vmn2r23	435916	MGI:3646826			Chr6 58.75 cM	Chr6:123679780-123719198(+)	NM_001104638	NP_001098108	
46546774	"mouse, laboratory"	10090	Vmn2r79	621430	MGI:3646882			Chr7 48.51 cM	Chr7:86645673-86687176(+)	NM_001105190	NP_001098660	
46546775	"mouse, laboratory"	10090	Vmn2r113	434701	MGI:3648972			Chr17 11.44 cM	Chr17:23162158-23177788(+)	NM_001104578	NP_001098048	
46546776	"mouse, laboratory"	10090	Vmn2r65	100009609	MGI:3642776			Chr7 48.38 cM	Chr7:84589377-84613217(-)	NM_001105180	NP_001098650	
46546777	"mouse, laboratory"	10090	Vmn2r68	620697	MGI:3648297			Chr7 48.4 cM	Chr7:84870726-84886912(-)	NM_001105181	NP_001098651	
46546778	"mouse, laboratory"	10090	Vmn2r-ps158	668612	MGI:3646456			Chr7 28.25 cM	Chr7:42668222-42697530(+)			
46546779	"mouse, laboratory"	10090	Vmn2r92	627111	MGI:3761352			Chr17 11.4 cM	Chr17:18372192-18405440(+)	"NM_001104541,NM_001385105"	NP_001372034	
46546780	"mouse, laboratory"	10090	Vmn2r82	624845	MGI:3646522			Chr10 39.72 cM	Chr10:79192425-79232600(+)	NM_001101572	NP_001095042	
46546781	"mouse, laboratory"	10090	Vmn2r59	628444	MGI:3643747			Chr7 28.25 cM	Chr7:41661216-41708405(-)	NM_001105056	NP_001098526	
46546782	"mouse, laboratory"	10090	Vmn2r118	383258	MGI:3761695			Chr17 28.9 cM	Chr17:55899341-55931672(-)	"NM_001385216,NM_001104582"	NP_001372145	
46546783	"mouse, laboratory"	10090	Vmn2r99	665376	MGI:3644540			Chr17 11.4 cM	Chr17:19582397-19614852(+)	NM_001104551	NP_001098021	
46546784	"mouse, laboratory"	10090	Vmn2r62	546964	MGI:3757994			Chr7 28.25 cM	Chr7:42413862-42442920(-)	NM_001105059	NP_001098529	
46546785	"mouse, laboratory"	10090	Vmn2r70	670940	MGI:3761314			Chr7 48.43 cM	Chr7:85207911-85218296(-)	"NM_001105183,NM_001384914"	NP_001371843	
46546786	"mouse, laboratory"	10090	Vmn2r53	637908	MGI:3644480			Chr7 7.56 cM	Chr7:12315397-12342583(-)	"NM_001104644,XM_036153322"	"XP_036009215,NP_001098114"	
46546787	"mouse, laboratory"	10090	Vmn2r115	638102	MGI:3647235			Chr17 11.56 cM	Chr17:23562951-23579102(+)	NM_001104579	NP_001098049	
46546788	"mouse, laboratory"	10090	Vmn2r114	666002	MGI:3648252			Chr17 11.56 cM	Chr17:23509908-23531287(-)	NM_001102584	NP_001096054	
46546789	"mouse, laboratory"	10090	Vmn2r73	620928	MGI:3646433			Chr7 48.43 cM	Chr7:85506755-85525146(-)	NM_001105186	NP_001098656	
46546790	"mouse, laboratory"	10090	Vmn2r91	665210	MGI:3645072			Chr17 11.22 cM	Chr17:18305319-18356905(+)	NM_001385124	NP_001372053	
46546791	"mouse, laboratory"	10090	Vmn2r95	328759	MGI:3761354			Chr17 11.4 cM	Chr17:18644366-18672586(+)	NM_001102581	NP_001096051	
46546792	"mouse, laboratory"	10090	Vmn2r105	627743	MGI:3646973			Chr17 11.4 cM	Chr17:20428492-20455134(-)	NM_001369232	NP_001356161	
46546793	"mouse, laboratory"	10090	Vmn2r67	620672	MGI:3643129			Chr7 48.4 cM	Chr7:84785448-84805110(-)	NM_001102579	NP_001096049	
46546794	"mouse, laboratory"	10090	Vmn2r83	625029	MGI:3644559			Chr10 39.72 cM	Chr10:79304792-79327988(+)	NM_001104537	NP_001098007	
46546795	"mouse, laboratory"	10090	Vmn2r124	637021	MGI:3761531			Chr17 11.12 cM	Chr17:18269746-18294482(+)	NM_001271883	NP_001258812	
46546796	"mouse, laboratory"	10090	Vmn2r21	546912	MGI:3647953			Chr6 58.55 cM	Chr6:123469467-123510365(-)	NM_001104635	NP_001098105	
46546797	"mouse, laboratory"	10090	Vmn2r103	627636	MGI:3644032			Chr17 11.4 cM	Chr17:19993625-20032798(+)	NM_001104565	NP_001098035	
46546798	"mouse, laboratory"	10090	Vmn2r130	100042225	MGI:3761689			Chr17 11.5 cM	Chr17:23280341-23296399(+)	NM_001384262	NP_001371191	
46546799	"mouse, laboratory"	10090	Vmn2r61	637873	MGI:1351347			Chr7 28.25 cM	Chr7:41909477-41950179(+)	NM_001105058	NP_001098528	
46546800	"mouse, laboratory"	10090	Vmn2r108	627805	MGI:3643822			Chr17 11.4 cM	Chr17:20682635-20701498(-)	NM_001104570	NP_001098040	
46546801	"mouse, laboratory"	10090	Vmn2r117	619788	MGI:3648766			Chr17 11.56 cM	Chr17:23678649-23698571(-)	NM_001104581	NP_001098051	
46546802	"mouse, laboratory"	10090	Vmn2r16	384220	MGI:3647194			Chr5 53.24 cM	Chr5:109478247-109512347(+)	"NM_001385189,XM_036165258,XM_030254646,XM_030254643"	"XP_030110503,XP_030110506,XP_036021151,NP_001372118"	
46546803	"mouse, laboratory"	10090	Vmn2r58	628422	MGI:3647877			Chr7 28.25 cM	Chr7:41486305-41522094(-)	NM_001105055	NP_001098525	
46546804	"mouse, laboratory"	10090	Vmn2r60	637898	MGI:3647050			Chr7 28.25 cM	Chr7:41765895-41845200(+)	NM_001105057	NP_001098527	
46546805	"mouse, laboratory"	10090	Vmn2r80	624765	MGI:3646321			Chr10 39.72 cM	Chr10:78984650-79030767(+)	NM_001103368	NP_001096838	
46546806	"mouse, laboratory"	10090	Vmn2r100	627537	MGI:3648026			Chr17 11.4 cM	Chr17:19725073-19752322(+)	NM_001104562	NP_001098032	
46546807	"mouse, laboratory"	10090	Vmn2r69	330581	MGI:3761311			Chr7 48.42 cM	Chr7:85055584-85064884(-)	NM_001105182	NP_001098652	
46546808	"mouse, laboratory"	10090	Vmn2r57	269902	MGI:3703084			Chr7 28.25 cM	Chr7:41049156-41098065(-)	NM_177764	NP_808432	
46546809	"mouse, laboratory"	10090	Vmn2r74	546980	MGI:3643877			Chr7 48.43 cM	Chr7:85601075-85610690(-)	NM_001384912	NP_001371841	
46546810	"mouse, laboratory"	10090	Vmn2r96	433070	MGI:3644514			Chr17 11.4 cM	Chr17:18793282-18818419(+)	NM_001385081	NP_001372010	
46546811	"mouse, laboratory"	10090	Vmn2r86	625109	MGI:3649066			Chr10 77.92 cM	Chr10:130282068-130291763(-)	NM_001103365	NP_001096835	
46546812	"mouse, laboratory"	10090	Vmn2r93	627132	MGI:3645591			Chr17 11.4 cM	Chr17:18518543-18546703(+)	NM_001104542	NP_001098012	
46546813	"mouse, laboratory"	10090	Vmn2r22	546913	MGI:3647952			Chr6 58.66 cM	Chr6:123586717-123627594(-)	NM_001104637	NP_001098107	
46546814	"mouse, laboratory"	10090	Vmn2r54	666085	MGI:3704110			Chr7 7.57 cM	Chr7:12349160-12374167(-)	"XM_358040,XM_145364,XM_036153360,NM_001384946"	"XP_036009253,NP_001371875"	
46546815	"mouse, laboratory"	10090	Vmn2r90	626942	MGI:3645076			Chr17 10.14 cM	Chr17:17924203-17954429(+)	NM_001104539	NP_001098009	
46546816	"mouse, laboratory"	10090	Vmn2r75	546981	MGI:3648311			Chr7 48.51 cM	Chr7:85797250-85820932(-)	NM_001102578	NP_001096048	
46546817	"mouse, laboratory"	10090	Vmn2r78	637896	MGI:3761335			Chr7 48.51 cM	Chr7:86564557-86604385(+)	NM_001105189	NP_001098659	
46546818	"mouse, laboratory"	10090	Vmn2r63	435975	MGI:3647107			Chr7 28.25 cM	Chr7:42552675-42583213(-)	NM_001105060	NP_001098530	
46546819	"mouse, laboratory"	10090	Vmn2r109	627814	MGI:3646711			Chr17 11.4 cM	Chr17:20760779-20785018(-)	NM_001104571	NP_001098041	
46546820	"mouse, laboratory"	10090	Vmn2r101	627576	MGI:3648468			Chr17 11.4 cM	Chr17:19797493-19832579(+)	NM_001104563	NP_001098033	
46546821	"mouse, laboratory"	10090	Vmn2r25	545874	MGI:3644645			Chr6 58.87 cM	Chr6:123799773-123830149(-)	NM_001104641	NP_001098111	
46546822	"mouse, laboratory"	10090	Vmn2r56	629079	MGI:3695438			Chr7 7.6 cM	Chr7:12427787-12468785(-)	"NM_001104648,XM_036153321,XM_011250669"	"XP_036009214,XP_011248971,NP_001098118"	
46546823	"mouse, laboratory"	10090	Vmn2r97	627367	MGI:3645271			Chr17 11.4 cM	Chr17:19134584-19168333(+)	NM_001385078	NP_001372007	
46546824	"mouse, laboratory"	10090	Vmn2r77	546983	MGI:3643879			Chr7 48.51 cM	Chr7:86444349-86461240(+)	NM_001105188	NP_001098658	
46546825	"mouse, laboratory"	10090	Vmn2r116	619697	MGI:3646674			Chr17 11.56 cM	Chr17:23603777-23620838(+)	NM_001104580	NP_001098050	E9Q6I0
46546826	"mouse, laboratory"	10090	Vmn2r20	667180	MGI:3646439			Chr6 58.45 cM	Chr6:123362221-123395020(-)	NM_001104634	NP_001098104	
46546827	"mouse, laboratory"	10090	Vmn2r110	224582	MGI:3644602			Chr17 11.4 cM	Chr17:20794091-20816521(-)	NM_001104572	NP_001098042	
46546828	"mouse, laboratory"	10090	Vmn2r107	22312	MGI:1316664			Chr17 11.4 cM	Chr17:20565687-20596034(+)	NM_001104569	NP_001098039	
46546829	"mouse, laboratory"	10090	Vmn2r89	22301	MGI:1316707			Chr14 26.53 cM	Chr14:51689314-51698311(+)	"XM_036158578,NM_001378723,XM_017315984,XM_036158577,NM_001385186"	"XP_017171473,XP_036014470,XP_036014471,NP_001372115,NP_001365652"	
46546830	"mouse, laboratory"	10090	Vmn2r72	244114	MGI:3647591			Chr7 48.43 cM	Chr7:85386992-85404189(-)	NM_001384915	NP_001371844	
46546831	"mouse, laboratory"	10090	Vmn2r98	224552	MGI:3647977			Chr17 11.4 cM	Chr17:19273755-19301573(+)	NM_001104550	NP_001098020	
46546832	"mouse, laboratory"	10090	Vmn2r27	232367	MGI:3761517			Chr6 59.11 cM	Chr6:124168555-124208743(-)	NM_001104642	NP_001098112	
46546833	"mouse, laboratory"	10090	Vmn2r102	224572	MGI:3647786			Chr17 11.4 cM	Chr17:19880661-19915010(+)	NM_001104564	NP_001098034	
46546834	"mouse, laboratory"	10090	Vmn2r81	216144	MGI:2684056			Chr10 39.72 cM	Chr10:79083611-79130369(+)	NM_175936	NP_787950	
46546835	"mouse, laboratory"	10090	Vmn2r120	224916	MGI:3644483			Chr17 29.88 cM	Chr17:57815783-57852314(-)	NM_001385181	NP_001372110	
46546836	"mouse, laboratory"	10090	Vmn2r26	56552	MGI:2678394			Chr6 59.06 cM	Chr6:124001717-124038994(+)	NM_019917	NP_064301	Q6TAC4
46546837	"mouse, laboratory"	10090	Vmn2r104	22313	MGI:1316665			Chr17 11.4 cM	Chr17:20249687-20268467(-)	NM_001104566	NP_001098036	
46546838	"mouse, laboratory"	10090	Vmn2r71	233445	MGI:3646472			Chr7 48.43 cM	Chr7:85264670-85273755(+)	NM_001384948	NP_001371877	
46546839	"mouse, laboratory"	10090	Vmn2r106	224576	MGI:3647787			Chr17 11.4 cM	Chr17:20487809-20505692(-)	NM_001385160	NP_001372089	
46546840	"mouse, laboratory"	10090	Vmn2r24	243628	MGI:3647530			Chr6 58.82 cM	Chr6:123755930-123793239(+)	NM_001104639	NP_001098109	
46546841	"mouse, laboratory"	10090	Mmut	17850	MGI:97239			Chr17 19.55 cM	Chr17:41245576-41272879(+)	"XM_017317291,NM_008650"	"XP_017172780,NP_032676"	P16332
46546841	human	9606	MMUT	4594		HGNC:7526	OMIM:609058	Chr6 p12.3	Chr6:49430360-49463253(-)	NM_000255	"NP_000246,XP_005249200,XP_054211495"	P22033
46546842	"mouse, laboratory"	10090	Ranbp2	19386	MGI:894323			Chr10 29.34 cM	Chr10:58282674-58329977(+)	NM_011240	NP_035370	Q9ERU9
46546842	human	9606	RANBP2	5903		HGNC:9848	OMIM:601181	Chr2 q13	Chr2:108719482-109842301(+)	"NM_001415873,NM_001415871,NM_001415872,NM_006267"	"NP_001402800,NP_001402801,NP_001402802,NP_006258,XP_005264059,XP_005264064,XP_011509877,XP_011509878,XP_011509880,XP_016860113,XP_016860114,XP_047301323,XP_054199233,XP_054199234,XP_054199235,XP_054199236,XP_054199237,XP_054199238,XP_054199239,XP_054199240"	P49792
46546842	human	9606	RGPD1	400966		HGNC:32414	OMIM:612704	Chr2 p11.2	Chr2:86913659-87013976(+)	"NM_001024457,NM_001382344,NM_001410915"	"NP_001019628,NP_001369273,NP_001397844,XP_011531147,XP_011531151,XP_011531152,XP_011531153,XP_011531154,XP_054198003,XP_054198004,XP_054198005,XP_054198006,XP_054198007,XP_054198008,XP_054198009"	P0DJD0
46546842	human	9606	RGPD2	729857		HGNC:32415	OMIM:612705	Chr2 p11.2	Chr2:87755960-87989818(-)	"NM_001078170,NM_001393613"	"NP_001071638,NP_001380542,XP_016860334,XP_047301690,XP_047301691,XP_047301692,XP_047301693,XP_047301694,XP_054199708,XP_054199709,XP_054199710,XP_054199711,XP_054199712,XP_054199713"	P0DJD1
46546842	human	9606	RGPD3	653489		HGNC:32416	OMIM:612706	Chr2 q12.2	Chr2:106391290-106470935(-)	NM_001144013	"NP_001137485,XP_016860227,XP_016860228,XP_016860229,XP_047301523,XP_054199463,XP_054199464,XP_054199465,XP_054199466"	A6NKT7
46546842	human	9606	RGPD4	285190		HGNC:32417	OMIM:612707	Chr2 q12.3	Chr2:107826892-107892544(+)	NM_182588	"NP_872394,XP_011509319,XP_011509320,XP_011509321,XP_011509322,XP_016859387,XP_054197498,XP_054197499,XP_054197500,XP_054197501,XP_054197502,XP_054197503"	Q7Z3J3
46546842	human	9606	RGPD5	84220		HGNC:32418	OMIM:612708	Chr2 q13	Chr2:109760618-109857705(+)	"NM_005054,NM_032260"	"NP_005045,NP_115636,XP_006712857,XP_016860570,XP_047301936,XP_054200119,XP_054200120"	Q99666
46546842	human	9606	RGPD6	729540		HGNC:32419	OMIM:612709	Chr2 q13	Chr2:110513802-110611056(-)	"NM_001384362,NM_001386155,NM_001386145,NM_001386163,NM_001387273,NM_001386159,NM_001037866,NM_001123363,NM_001386141,NM_001384364,NM_001384363"	"NP_001032955,NP_001116835,NP_001371291,NP_001371292,NP_001371293,NP_001373070,NP_001373074,NP_001373084,NP_001373088,NP_001373092,NP_001374202,XP_011510071,XP_011510072,XP_016860328,XP_016860330,XP_016860332,XP_047301687,XP_047301688,XP_047301689,XP_054199702,XP_054199703,XP_054199704,XP_054199705,XP_054199706,XP_054199707"	Q99666
46546842	human	9606	RGPD8	727851		HGNC:9849	OMIM:602752	Chr2 q14.1		NM_001164463	"NP_001157935,XP_005263804,XP_011510035,XP_016860314,XP_016860315,XP_024308869,XP_047301632,XP_054199645,XP_054199646,XP_054199647,XP_054199648,XP_054199649,XP_054199650"	O14715
46546843	"mouse, laboratory"	10090	Nalf2	620592	MGI:3648377			ChrX 43.59 cM	ChrX:98864627-98892396(+)	NM_001081283	NP_001074752	A2BDP1
46546843	human	9606	NALF2	27112		HGNC:30701		ChrX q13.1	ChrX:69504326-69532508(+)	NM_015686	"NP_056501,XP_011529210,XP_011529211,XP_054182806,XP_054182807"	O75949
46546844	"mouse, laboratory"	10090	Polr3gl	69870	MGI:1917120			Chr3 41.93 cM	Chr3:96485188-96501497(-)	"NM_001293701,NM_027241,XM_030252811"	"XP_030108671,NP_001280630,NP_081517"	Q8R0C0
46546844	human	9606	POLR3GL	84265		HGNC:28466	OMIM:617457	Chr1 q21.1	Chr1:145964690-145978848(+)	"NM_001330685,NM_032305"	"NP_001317614,NP_115681"	Q9BT43
46546845	"mouse, laboratory"	10090	Gal	14419	MGI:95637			Chr19 3.16 cM	Chr19:3459915-3464544(-)	"NM_001329667,NM_010253"	"NP_001316596,NP_034383"	P47212
46546845	human	9606	GAL	51083		HGNC:4114	OMIM:137035	Chr11 q13.2	Chr11:68683779-68691175(+)	NM_015973	NP_057057	P22466
46546846	"mouse, laboratory"	10090	Setd1b	208043	MGI:2652820			Chr5 62.8 cM	Chr5:123280256-123306692(+)	"XM_006530237,NM_001040398,XM_006530238"	"XP_006530300,XP_006530301,NP_001035488"	Q8CFT2
46546846	human	9606	SETD1B	23067		HGNC:29187	OMIM:611055	Chr12 q24.31	Chr12:121790155-121832656(+)	"NM_015048,NM_001353345"	"NP_001340274,XP_024304666,XP_047284508,XP_047284509,XP_054227457,XP_054227458"	Q9UPS6
46546847	"mouse, laboratory"	10090	Tbr1	21375	MGI:107404			Chr2 35.56 cM	Chr2:61633274-61644458(+)	"XM_006499098,NM_001418367,NM_009322,NM_001418366"	"XP_006499161,NP_033348,NP_001405296,NP_001405295"	Q64336
46546847	human	9606	TBR1	10716		HGNC:11590	OMIM:604616	Chr2 q24.2	Chr2:161416297-161425870(+)	NM_006593	NP_006584	Q16650
46546848	"mouse, laboratory"	10090	Tbx2	21385	MGI:98494			Chr11 51.34 cM	Chr11:85723441-85732774(+)	NM_009324	NP_033350	Q60707
46546848	human	9606	TBX2	6909		HGNC:11597	OMIM:600747	Chr17 q23.2	Chr17:61399843-61409466(+)	NM_005994	NP_005985	Q13207
46546849	"mouse, laboratory"	10090	Imp4	27993	MGI:106572			Chr1 13.22 cM	Chr1:34478558-34484828(+)	"NM_178601,NM_001420705"	"NP_001407634,NP_848716"	Q8VHZ7
46546849	human	9606	IMP4	92856		HGNC:30856	OMIM:612981	Chr2 q21.1	Chr2:130342877-130347967(+)	"NM_001371734,NM_033416,NM_001371732,NM_001371731,NM_001320304,NM_001320305,NM_001320306,NM_001320307,NM_001320309,NM_001320310,NM_001320311,NM_001371725,NM_001371726,NM_001371728,NM_001371730,NM_001371733"	"NP_001307233,NP_001307234,NP_001307235,NP_001307236,NP_001307238,NP_001307239,NP_001307240,NP_001358654,NP_001358655,NP_001358657,NP_001358659,NP_001358660,NP_001358661,NP_001358662,NP_001358663,NP_219484"	Q96G21
46546850	"mouse, laboratory"	10090	Mks1	380718	MGI:3584243			Chr11 52.24 cM	Chr11:87744041-87754629(+)	"XM_017314631,NM_001039684,XM_036156818"	"XP_036012711,XP_017170120,NP_001034773"	Q5SW45
46546850	human	9606	MKS1	54903		HGNC:7121	OMIM:609883	Chr17 q22	Chr17:58205441-58219605(-)	"NM_001321269,NM_001330397,NM_001411113,NM_017777,NM_001165927,NM_001321268"	"NP_001159399,NP_001308197,NP_001308198,NP_001317326,NP_001398042,NP_060247,XP_005257542,XP_011523259,XP_011523260,XP_011523262,XP_047292289,XP_047292290,XP_047292291,XP_054172555,XP_054172556,XP_054172557,XP_054172558,XP_054172559,XP_054172560,XP_054172561"	Q9NXB0
46546851	"mouse, laboratory"	10090	Adar	56417	MGI:1889575			Chr3 39.19 cM	Chr3:89622329-89660753(+)	"NM_001410662,NM_001410663,NM_001410658,NM_001410659,NM_001146296,NM_019655,NM_001410661,NM_001357958,XM_006501753,NM_001410660,NM_001410664,NM_001038587"	"XP_006501816,NP_001397587,NP_001139768,NP_001033676,NP_001344887,NP_001397590,NP_062629,NP_001397593,NP_001397591,NP_001397592,NP_001397589,NP_001397588"	Q99MU3
